id,name,created_at,text,media_type
1083861613097177094,Lions,Fri Jan 11 15:02:00 -0800 2019,"There was a lot of good play this past season scattered along Detroit’s defensive front.

2018 Position Breakdown:… https://t.co/dTcXbaGkmw",[]
1083796181585616896,Lions,Fri Jan 11 10:42:00 -0800 2019,".@sportstori, @ttwentyman and @MikeOHaraNFL break down the #Lions' 2018 season on special teams. https://t.co/TiMdPgbiN8",['photo']
1083742472667365378,Lions,Fri Jan 11 07:08:35 -0800 2019,"RT @englishpwrdrive: This man drafted me &amp; thus began a 10 year career &amp; love affair between the Ford family, the City of Detroit, the Detr…",[]
1083738319551455233,Lions,Fri Jan 11 06:52:04 -0800 2019,Former #Lions head coach Rick Forzano passes away at age 90: https://t.co/p8pwXok4rN https://t.co/aBiDPlwkbl,['photo']
1083559874598846464,Lions,Thu Jan 10 19:03:00 -0800 2019,"THE DAILY DRIVE: Johnson's first 2019 goal: 'Finish seasons' 

https://t.co/ADn6dewgAl https://t.co/lctleuFXEo",['photo']
1083469278131695616,Lions,Thu Jan 10 13:03:00 -0800 2019,"Both @kgxix and @MarvinJonesJr averaged better than 14.0 yards per reception (Golladay, 15.2; Jones 14.5).

2018 Po… https://t.co/z7V6WcVs9B",[]
1083410807654739968,Lions,Thu Jan 10 09:10:40 -0800 2019,🎞 Top 🔟 defensive plays from the #Lions' 2018 season. https://t.co/z0UqexhXOh,['photo']
1083378913303318534,Lions,Thu Jan 10 07:03:55 -0800 2019,RT @ttwentyman: 2018 Position Breakdown: Wide receivers https://t.co/mQVSONeVXa,[]
1083197486951321600,Lions,Wed Jan 09 19:03:00 -0800 2019,"THE DAILY DRIVE: Lions general manager Bob Quinn says team is tougher since he took over

https://t.co/OYVXsD5ylf https://t.co/9ppW3v7fYX",['photo']
1083185039284813829,Lions,Wed Jan 09 18:13:32 -0800 2019,Tomorrow's the last day to enter the Super Bowl ticket raffle ➡️ https://t.co/oxId9O0EAJ https://t.co/EJRS7gP3U8,[]
1083157221414977536,Lions,Wed Jan 09 16:23:00 -0800 2019,".@sportstori, @ttwentyman and @MikeOHaraNFL break down the #Lions' 2018 season on defense. https://t.co/vRBWNvKS69",['photo']
1083094433070018562,Lions,Wed Jan 09 12:13:30 -0800 2019,"@Permanent_trip Hi Nick,

These footballs will be mailed out shortly! Thanks for your patience.",[]
1083058817816944640,Lions,Wed Jan 09 09:51:59 -0800 2019,🎞 Sit back and enjoy @kgxix's top plays of the 2018 season! #OnePride https://t.co/FY1tcmwD6y,['photo']
1084863867975553024,Saints,Mon Jan 14 09:24:36 -0800 2019,"RT @SNFonNBC: .@TeamGleason and @MalcolmJenkins share a special moment after the @Saints' win over the @Eagles ❤️

(via @JClarkNBCS)
https:…",[]
1084858616556019712,Saints,Mon Jan 14 09:03:44 -0800 2019,We’ve advanced to the NFC Championship Game and you could witness it LIVE! Enter for your chance to receive two (2)… https://t.co/G62MnXuvJP,[]
